id,source,probA,probB,probC,probD,answer,time,error,sources,ids,similarity,confident,add_ids
0.0,MEDMCQA,0.5358511209487915,0.10551534593105316,0.10551534593105316,0.2531181275844574,3,0.21303391456604004,False,"['TEXT', 'PBMD', 'PBMD', 'PBMD', 'TEXT']","[468502519162356417, 468502519163152466, 468502519163677955, 468502519163659326, 468502519162357546]","[0.7015731930732727, 0.7308184504508972, 0.7286089658737183, 0.7728725075721741, 0.7045883536338806]",1,"[-1, -1, -1, -1, -1]"
1.0,MEDMCQA,0.9987524747848511,0.00033504414022900164,0.0007092884043231606,0.00020321454212535173,0,0.1452932357788086,False,"['STAT', 'STAT', 'STAT', 'STAT', 'STAT']","[468502519162697709, 468502519162968323, 468502519162868945, 468502519162968330, 468502519162968331]","[0.8038607239723206, 0.7917578816413879, 0.8076399564743042, 0.7635882496833801, 0.7700004577636719]",1,"[-1, -1, -1, -1, -1]"
2.0,MEDMCQA,0.015832560136914253,0.8644284605979919,0.1169876679778099,0.0027512863744050264,1,0.20264625549316406,False,"['PBMD', 'PBMD', 'PBMD', 'PBMD', 'STAT']","[468502519163929025, 468502519163207920, 468502519163284650, 468502519163188050, 468502519162436810]","[0.727733850479126, 0.7330549359321594, 0.7313326001167297, 0.7311891913414001, 0.7474445700645447]",1,"[-1, -1, -1, -1, -1]"
3.0,MEDMCQA,0.8324344754219055,0.06030135229229927,0.046962738037109375,0.06030135229229927,2,0.27858710289001465,False,"['STAT', 'PBMD', 'PBMD', 'PBMD', 'PBMD']","[468502519162975642, 468502519163479775, 468502519163047454, 468502519163289130, 468502519163178238]","[0.7885847091674805, 0.7954401969909668, 0.802266001701355, 0.7988027334213257, 0.7967373132705688]",1,"[-1, -1, -1, -1, -1]"
4.0,MEDMCQA,0.206774041056633,0.01923298090696335,0.05228066444396973,0.7217122912406921,3,0.3597095012664795,False,"['TEXT', 'TEXT', 'TEXT', 'TEXT', 'TEXT']","[468502519162381387, 468502519162313414, 468502519162313563, 468502519162307675, 468502519162313412]","[0.7991638779640198, 0.7914852499961853, 0.7958880066871643, 0.8003636002540588, 0.825505793094635]",1,"[-1, -1, -1, -1, -1]"
5.0,MEDMCQA,0.9999979734420776,1.760342797751946e-06,1.125349484709659e-07,1.637373969742839e-07,0,0.2885468006134033,False,"['PBMD', 'TEXT', 'PBMD', 'STAT', 'PBMD']","[468502519163836481, 468502519162329772, 468502519163839522, 468502519162949172, 468502519163832239]","[0.7748363614082336, 0.7681911587715149, 0.7889091968536377, 0.7525442242622375, 0.7497938871383667]",1,"[-1, -1, -1, -1, -1]"
6.0,MEDMCQA,0.10371404141187668,0.10371404141187668,0.026223016902804375,0.7663488984107971,1,0.26726818084716797,False,"['PBMD', 'PBMD', 'PBMD', 'PBMD', 'PBMD']","[468502519163688134, 468502519163402058, 468502519163546725, 468502519163529517, 468502519163117830]","[0.7322907447814941, 0.723412036895752, 0.7286182641983032, 0.7239532470703125, 0.7323384881019592]",1,"[-1, -1, -1, -1, -1]"
7.0,MEDMCQA,0.21013692021369934,0.2698211371898651,0.39258742332458496,0.127454474568367,1,0.852175235748291,False,"['PBMD', 'PBMD', 'PBMD', 'PBMD', 'PBMD']","[468502519163823538, 468502519163669190, 468502519163692527, 468502519163593707, 468502519163531524]","[0.7174593210220337, 0.7244766354560852, 0.7045899033546448, 0.7024155259132385, 0.7107599377632141]",2,"[468502519163955349, 468502519163786392, 468502519163162170, 468502519163910199, 468502519163558914, 468502519163162170, 468502519163965163, 468502519163558914, 468502519163910199, 468502519163704482]"
8.0,MEDMCQA,0.1776759773492813,0.016526440158486366,0.5472805500030518,0.2585170269012451,2,0.25136423110961914,False,"['STAT', 'STAT', 'PBMD', 'STAT', 'STAT']","[468502519162457943, 468502519162788370, 468502519163119491, 468502519162457940, 468502519162457929]","[0.8049830198287964, 0.8174548745155334, 0.8424609303474426, 0.8103270530700684, 0.8097202777862549]",1,"[-1, -1, -1, -1, -1]"
9.0,MEDMCQA,0.02728760987520218,0.04498966038227081,0.02408123016357422,0.9036415219306946,1,0.21205568313598633,False,"['PBMD', 'PBMD', 'PBMD', 'PBMD', 'PBMD']","[468502519163468483, 468502519163202567, 468502519163768623, 468502519163375824, 468502519163494477]","[0.7796214818954468, 0.7555466294288635, 0.7564749121665955, 0.7858111262321472, 0.7689605355262756]",1,"[-1, -1, -1, -1, -1]"
10.0,MEDMCQA,0.00023046437127050012,0.9995858073234558,7.482082583010197e-05,0.00010886365635087714,1,0.2767624855041504,False,"['STAT', 'TEXT', 'TEXT', 'TEXT', 'TEXT']","[468502519162891895, 468502519162354559, 468502519162333467, 468502519162298364, 468502519162382505]","[0.802100658416748, 0.8086000680923462, 0.797115683555603, 0.7907549738883972, 0.8086575269699097]",1,"[-1, -1, -1, -1, -1]"
