id,source,probA,probB,probC,probD,probE,answer,time,error,sources,ids,similarity,confident,add_ids
0,MEDQA,0.04294564574956894,0.6717829704284668,0.14989504218101501,0.05514330416917801,0.08023303747177124,2,0.3132443428039551,False,"['TEXT', 'STAT', 'PBMD', 'TEXT', 'STAT']","[468502519162419238, 468502519162804824, 468502519163003037, 468502519162419239, 468502519162725956]","[0.7883020639419556, 0.7768590450286865, 0.7520108222961426, 0.7805895805358887, 0.7677859663963318]",1,"[-1, -1, -1, -1, -1]"
1,MEDQA,0.18798041343688965,0.025440383702516556,0.1291969269514084,0.0783618912100792,0.5790204405784607,4,0.670691728591919,False,"['STAT', 'STAT', 'PBMD', 'PBMD', 'PBMD']","[468502519162463460, 468502519162803025, 468502519163959629, 468502519163762620, 468502519163669127]","[0.8022149801254272, 0.7991018891334534, 0.8087170124053955, 0.8275303244590759, 0.8109773397445679]",2,"[468502519163976601, 468502519163651328, 468502519163762620, 468502519163312036, 468502519163723351, 468502519162463460, 468502519162489149, 468502519163333699, 468502519163762620, 468502519163312036]"
2,MEDQA,0.009160095825791359,0.006295636296272278,0.9343552589416504,0.021973930299282074,0.028215084224939346,2,0.49824976921081543,False,"['PBMD', 'PBMD', 'PBMD', 'PBMD', 'PBMD']","[468502519163128432, 468502519163939203, 468502519163751419, 468502519163968916, 468502519163576601]","[0.7741281986236572, 0.7759219408035278, 0.7778491377830505, 0.7752714157104492, 0.7865031957626343]",1,"[-1, -1, -1, -1, -1]"
3,MEDQA,0.1808328628540039,0.557004451751709,0.03560810163617134,0.04572170972824097,0.1808328628540039,3,0.513117790222168,False,"['PBMD', 'PBMD', 'PBMD', 'PBMD', 'PBMD']","[468502519163345479, 468502519163155808, 468502519163013377, 468502519163154071, 468502519163932367]","[0.7986013889312744, 0.7794308662414551, 0.7905657291412354, 0.7816476821899414, 0.7949286103248596]",1,"[-1, -1, -1, -1, -1]"
4,MEDQA,0.05766534060239792,0.7960454225540161,0.07404375821352005,0.05766534060239792,0.014580081216990948,1,0.8725693225860596,False,"['STAT', 'STAT', 'PBMD', 'STAT', 'STAT']","[468502519162734019, 468502519162717305, 468502519163242475, 468502519162487888, 468502519162838336]","[0.759428858757019, 0.7691073417663574, 0.76836097240448, 0.7694875001907349, 0.7615014314651489]",3,"[468502519162780658, 468502519162780627, 468502519162780639, 468502519162780629, 468502519163571834, 468502519163908307, 468502519163843657, 468502519163984840, 468502519163011080, 468502519163038504, 468502519162738544, 468502519163543404, 468502519162920623, 468502519162780629, 468502519162747520]"
5,MEDQA,0.09115642309188843,0.2807815372943878,0.09115642309188843,0.012336679734289646,0.5245689749717712,4,0.3302443027496338,False,"['PBMD', 'STAT', 'STAT', 'PBMD', 'TEXT']","[468502519163953636, 468502519162729014, 468502519162754650, 468502519163681416, 468502519162390966]","[0.7790089249610901, 0.8038643598556519, 0.7909890413284302, 0.7795652151107788, 0.7912204265594482]",1,"[-1, -1, -1, -1, -1]"
6,MEDQA,0.8634538650512695,0.02954576537013054,0.02607404813170433,0.04298883676528931,0.03793751448392868,3,0.30730414390563965,False,"['STAT', 'PBMD', 'PBMD', 'PBMD', 'PBMD']","[468502519162822440, 468502519163659397, 468502519163506024, 468502519163183210, 468502519163769161]","[0.7860835194587708, 0.7899453639984131, 0.7669838666915894, 0.7662773132324219, 0.7848948240280151]",1,"[-1, -1, -1, -1, -1]"
7,MEDQA,0.04788106679916382,0.022617414593696594,0.8487122058868408,0.04788106679916382,0.03290814161300659,2,0.4941422939300537,False,"['PBMD', 'TEXT', 'PBMD', 'PBMD', 'TEXT']","[468502519163822394, 468502519162390966, 468502519163758589, 468502519163955446, 468502519162389975]","[0.8044017553329468, 0.7989494800567627, 0.795595645904541, 0.7957013845443726, 0.7955292463302612]",1,"[-1, -1, -1, -1, -1]"
8,MEDQA,0.1469607651233673,0.015489550307393074,0.7463283538818359,0.05406384542584419,0.03715749830007553,2,0.3032505512237549,False,"['TEXT', 'TEXT', 'TEXT', 'STAT', 'PBMD']","[468502519162307658, 468502519162309261, 468502519162375245, 468502519162434145, 468502519163301091]","[0.778314471244812, 0.769618034362793, 0.7888336777687073, 0.7695751190185547, 0.7700110077857971]",1,"[-1, -1, -1, -1, -1]"
9,MEDQA,0.6555044054985046,0.11390958726406097,0.10052485764026642,0.06097140908241272,0.06908965110778809,0,0.24831295013427734,False,"['STAT', 'STAT', 'STAT', 'PBMD', 'TEXT']","[468502519162723435, 468502519162810196, 468502519162728890, 468502519163204361, 468502519162418523]","[0.7420843243598938, 0.7507055401802063, 0.7571095824241638, 0.7459217309951782, 0.7396757006645203]",1,"[-1, -1, -1, -1, -1]"
10,MEDQA,0.008446886204183102,0.0014678486622869968,0.0014678486622869968,0.012290147133171558,0.9763273000717163,4,0.48868298530578613,False,"['STAT', 'PBMD', 'PBMD', 'PBMD', 'PBMD']","[468502519162695545, 468502519163637322, 468502519163621236, 468502519163873231, 468502519163820668]","[0.8075590133666992, 0.792163610458374, 0.8108765482902527, 0.7992006540298462, 0.7884490489959717]",1,"[-1, -1, -1, -1, -1]"
11,MEDQA,0.010684376582503319,0.007343257311731577,0.07894746214151382,0.8487651348114014,0.054259736090898514,3,0.488492488861084,False,"['PBMD', 'PBMD', 'PBMD', 'PBMD', 'PBMD']","[468502519163961772, 468502519163752132, 468502519163868110, 468502519163698349, 468502519163899266]","[0.7680715918540955, 0.7713509798049927, 0.7831425666809082, 0.7700682878494263, 0.7865837812423706]",1,"[-1, -1, -1, -1, -1]"
12,MEDQA,0.0024504053872078657,0.9885640144348145,0.005187507718801498,0.0010214808862656355,0.0027766728308051825,1,0.29214930534362793,False,"['STAT', 'STAT', 'STAT', 'TEXT', 'TEXT']","[468502519162931561, 468502519162458818, 468502519162700923, 468502519162384745, 468502519162333127]","[0.7705387473106384, 0.7948616147041321, 0.790822446346283, 0.778236448764801, 0.7716038823127747]",1,"[-1, -1, -1, -1, -1]"
13,MEDQA,0.34974002838134766,0.08842813223600388,0.12866216897964478,0.0368623286485672,0.3963073790073395,4,1.2042438983917236,False,"['PBMD', 'PBMD', 'PBMD', 'PBMD', 'PBMD']","[468502519163451184, 468502519163420791, 468502519163361968, 468502519163530825, 468502519163960555]","[0.7683357000350952, 0.7615159153938293, 0.7745478749275208, 0.7618279457092285, 0.7712498903274536]",2,"[468502519163604655, 468502519163922846, 468502519163451184, 468502519163420791, 468502519163430325, 468502519163606153, 468502519163874310, 468502519163247338, 468502519163941974, 468502519163315911]"
14,MEDQA,0.2331206500530243,0.04590418189764023,0.04590418189764023,0.4935164451599121,0.18155455589294434,3,0.9667251110076904,False,"['PBMD', 'PBMD', 'PBMD', 'PBMD', 'PBMD']","[468502519163368420, 468502519163072601, 468502519163386836, 468502519163104621, 468502519163019769]","[0.760844349861145, 0.7584470510482788, 0.7570010423660278, 0.7571775317192078, 0.764912486076355]",2,"[468502519162335204, 468502519163949427, 468502519163809895, 468502519163802156, 468502519163797824, 468502519163665468, 468502519163809903, 468502519162340978, 468502519163831878, 468502519163798894]"
15,MEDQA,0.3777189254760742,0.20217837393283844,0.09550230205059052,0.2290981113910675,0.09550230205059052,1,0.3872034549713135,False,"['TEXT', 'STAT', 'PBMD', 'PBMD', 'PBMD']","[468502519162349900, 468502519162894875, 468502519163967599, 468502519163705601, 468502519163114833]","[0.7962104678153992, 0.7814958095550537, 0.781140148639679, 0.7827980518341064, 0.7807445526123047]",1,"[-1, -1, -1, -1, -1]"
16,MEDQA,0.0882474035024643,0.003019660245627165,0.004978578072041273,0.7388864755630493,0.16486786305904388,4,0.5063705444335938,False,"['PBMD', 'PBMD', 'PBMD', 'PBMD', 'PBMD']","[468502519163910794, 468502519163746159, 468502519163680080, 468502519163728035, 468502519163722648]","[0.8042705059051514, 0.8214365839958191, 0.8033431172370911, 0.8003659248352051, 0.7981019020080566]",1,"[-1, -1, -1, -1, -1]"
17,MEDQA,0.6941026449203491,0.0127129340544343,0.09393657743930817,0.044372495263814926,0.1548752337694168,4,0.6846067905426025,False,"['STAT', 'STAT', 'STAT', 'STAT', 'PBMD']","[468502519162720116, 468502519162720120, 468502519162720136, 468502519162720123, 468502519163639053]","[0.7869439125061035, 0.7831598520278931, 0.7890222668647766, 0.8044654130935669, 0.7982204556465149]",2,"[468502519163135240, 468502519163896550, 468502519163946582, 468502519163788704, 468502519162882050, 468502519163135240, 468502519162308538, 468502519163360188, 468502519163721619, 468502519163946582]"
18,MEDQA,0.7006675004959106,0.07384981215000153,0.1771564930677414,0.02115832455456257,0.027167826890945435,1,0.4956319332122803,False,"['TEXT', 'PBMD', 'STAT', 'PBMD', 'PBMD']","[468502519162412554, 468502519163626738, 468502519162982237, 468502519163864178, 468502519163869850]","[0.779165506362915, 0.772542417049408, 0.7629145979881287, 0.7625788450241089, 0.7550496459007263]",1,"[-1, -1, -1, -1, -1]"
19,MEDQA,0.048182085156440735,0.017725197598338127,0.8540478944778442,0.042520537972450256,0.03752424567937851,4,0.42725348472595215,False,"['PBMD', 'PBMD', 'PBMD', 'PBMD', 'TEXT']","[468502519163213387, 468502519163792318, 468502519163874092, 468502519163814092, 468502519162367853]","[0.7771685719490051, 0.7909669876098633, 0.7860812544822693, 0.7914714217185974, 0.7753946781158447]",1,"[-1, -1, -1, -1, -1]"
20,MEDQA,0.20763911306858063,0.1832408607006073,0.1617094874382019,0.059489600360393524,0.38792091608047485,2,0.49361085891723633,False,"['PBMD', 'PBMD', 'PBMD', 'PBMD', 'STAT']","[468502519163719568, 468502519163773411, 468502519163682713, 468502519163862571, 468502519162455449]","[0.7910431623458862, 0.7781832218170166, 0.7785245180130005, 0.7968013882637024, 0.779608964920044]",1,"[-1, -1, -1, -1, -1]"
21,MEDQA,0.4561649560928345,0.06173521280288696,0.10178416222333908,0.19015784561634064,0.19015784561634064,0,1.0921039581298828,False,"['PBMD', 'PBMD', 'PBMD', 'PBMD', 'PBMD']","[468502519163412025, 468502519163726626, 468502519163625781, 468502519163970065, 468502519163772036]","[0.7673711180686951, 0.7677319049835205, 0.8019141554832458, 0.7922488451004028, 0.7780909538269043]",2,"[468502519162381374, 468502519162975550, 468502519163576015, 468502519162975585, 468502519163576155, 468502519163759779, 468502519163668552, 468502519163917555, 468502519163654822, 468502519163863601]"
22,MEDQA,0.004202446900308132,0.0013643348356708884,0.0025489130057394505,0.9074758887290955,0.08440840989351273,3,0.4032590389251709,False,"['PBMD', 'PBMD', 'PBMD', 'PBMD', 'PBMD']","[468502519163861774, 468502519163892105, 468502519163779848, 468502519163661114, 468502519163618986]","[0.7944312691688538, 0.8028832674026489, 0.7903138995170593, 0.8129663467407227, 0.7912993431091309]",1,"[-1, -1, -1, -1, -1]"
23,MEDQA,0.047246646136045456,0.837466835975647,0.036795724183321,0.041695017367601395,0.036795724183321,4,0.3744838237762451,False,"['TEXT', 'PBMD', 'TEXT', 'PBMD', 'TEXT']","[468502519162327191, 468502519163779848, 468502519162327160, 468502519163124580, 468502519162394786]","[0.7730399966239929, 0.764119565486908, 0.7644890546798706, 0.7684807777404785, 0.7844423651695251]",1,"[-1, -1, -1, -1, -1]"
24,MEDQA,0.6169269680976868,0.0834919884800911,0.09460882097482681,0.0834919884800911,0.12148012220859528,0,0.46697282791137695,False,"['STAT', 'TEXT', 'PBMD', 'PBMD', 'PBMD']","[468502519162696805, 468502519162391888, 468502519163860960, 468502519163667139, 468502519163984837]","[0.807234525680542, 0.8457520008087158, 0.8024951815605164, 0.8065838813781738, 0.8102521896362305]",1,"[-1, -1, -1, -1, -1]"
25,MEDQA,0.008480943739414215,0.0013005947694182396,0.0014737669844180346,0.008480943739414215,0.9802637696266174,4,0.3164050579071045,False,"['PBMD', 'PBMD', 'PBMD', 'PBMD', 'PBMD']","[468502519163571851, 468502519163337122, 468502519163039382, 468502519163512994, 468502519163398806]","[0.7964509725570679, 0.8026676177978516, 0.8217096328735352, 0.7950078248977661, 0.7956146001815796]",1,"[-1, -1, -1, -1, -1]"
26,MEDQA,0.0019197058863937855,0.0002598039573058486,0.001694134552963078,0.001694134552963078,0.994432270526886,4,0.37889838218688965,False,"['STAT', 'PBMD', 'STAT', 'TEXT', 'PBMD']","[468502519162847557, 468502519163822137, 468502519162990440, 468502519162328144, 468502519163735851]","[0.7733697295188904, 0.7909684181213379, 0.7744429707527161, 0.7699072957038879, 0.7708510160446167]",1,"[-1, -1, -1, -1, -1]"
27,MEDQA,0.8721796274185181,0.0338180735707283,0.0338180735707283,0.010979121550917625,0.04920500889420509,0,0.487565279006958,False,"['PBMD', 'PBMD', 'PBMD', 'PBMD', 'PBMD']","[468502519163054722, 468502519163169908, 468502519163341518, 468502519163842182, 468502519163375439]","[0.7985833883285522, 0.8024435043334961, 0.7910816669464111, 0.7898417711257935, 0.7966477274894714]",1,"[-1, -1, -1, -1, -1]"
28,MEDQA,0.15576164424419403,0.08337319642305374,0.1374591588973999,0.4234040379524231,0.20000189542770386,3,0.46204042434692383,False,"['TEXT', 'PBMD', 'PBMD', 'PBMD', 'PBMD']","[468502519162417087, 468502519163818956, 468502519163872852, 468502519163745720, 468502519163320209]","[0.7983248829841614, 0.7840217351913452, 0.7759810090065002, 0.7953141927719116, 0.7785661220550537]",1,"[-1, -1, -1, -1, -1]"
29,MEDQA,0.111429862678051,0.006286442745476961,0.006286442745476961,0.8233615159988403,0.052635740488767624,3,0.310941219329834,False,"['TEXT', 'PBMD', 'STAT', 'PBMD', 'PBMD']","[468502519162371928, 468502519163471076, 468502519162891132, 468502519163514743, 468502519163917567]","[0.7983263731002808, 0.8030946850776672, 0.8023806810379028, 0.7886210083961487, 0.7948269844055176]",1,"[-1, -1, -1, -1, -1]"
30,MEDQA,0.04434200003743172,0.014395740814507008,0.026894783601164818,0.0237345639616251,0.8906329274177551,4,0.4076106548309326,False,"['TEXT', 'PBMD', 'PBMD', 'PBMD', 'PBMD']","[468502519162414993, 468502519163972368, 468502519163653304, 468502519163967599, 468502519163453434]","[0.8044171929359436, 0.7971054911613464, 0.7995322942733765, 0.801413893699646, 0.8063881397247314]",1,"[-1, -1, -1, -1, -1]"
