id,question,opa,opb,opc,opd,cop,choice_type,exp,subject_name,topic_name
7dddfcb4-e0a3-4d71-b95e-49241da2abd5,Diagnosis of CI. Difficile infection is made by which of the following methods?,Toxin gene detection by polymerase chain reaction (PCR),Culture,Enzyme - linked immunosorbent assay (ELISA),Nagler's reaction,0,single,Clostridium difficile is difficult to culture. The best method for its diagnosis is PCR for tox gene. Nagler's reaction is done for Cl. Perfringens. It is a neutralizaton reaction.,Microbiology,AIIMS 2017
081dedb5-37f1-482c-a416-599ac0ab619a,Lipoarabinomannan (LAM) assay in urine is used for screening of?,Mycobacterium tuberculosis,Pneumocystis jirovecii,Histoplasm capsulatum,Cryptococcus neoformans,0,single,Lipoarabinomannan (LAM) is a virulence factor for Mycobacterium tuberculosis. It prevents phagolysosomal fusion. It is secreted in urine so can be used for screening purposes.,Microbiology,AIIMS 2017
326b16f4-3bd9-4656-9515-093e7d67ae21,What is not true regarding Zika Virus:,Belong to family flaviviridae,Transmission happens by Mosquitoes,Not transmitted from mother to newborn,Possibly can cause microcephaly,2,multi,Zika Virus belongs to family flaviviridae( which comes under Arbovirus). It is transmitted through mosquitoes (Aedes aegypticus) or sexual transmission .It also shows veical transmission i.e. from mother to child. If pregnant female gets infected with zika virus it may cause Microcephaly and GBS (Guillian Barre syndrome) in new born.,Microbiology,AIIMS 2018
0009b2fd-7e72-4ed0-b486-92ccb24e43f3,Which of the following marker persists in chronic hepatitis and recurrent hepatitis?,IgG Anti HbcAg,HBsAg,IgG Anti HBsAG,Anti Hbs,0,single,"Interpretation of common serological patterns in HBV infection Virus / Antibody markers Interpretation HBsAg HBeAg Anti - HBc Anti - HBs Anti - HBe + + IgM - - Acute HBV infection, highly infectious + + IgG - - Late/chronic HBV infection or carrier state: highly infectious + - IgG - +/- Late /chronic HBV infection or carrier state; low infectivity - +/- IgM - +/- Seen rarely in early acute HBV infection; infectious - - IgG +/- +/- Remote HBV infection; infectivity nil or very low - - - + - Immunity following HBV vaccine",Microbiology,AIIMS 2019
a06fc39f-e910-48cc-990f-fd3b93ede264,"""Grape bunch"" shaped colonies are seen in:",Streptococcus,Staphylococcus,E.coli,Gonococci,1,single,,Microbiology,
7d01f5ce-d737-4838-bf15-68a4dea15b1a,Slow growing alveolar like tumor in liver,E. granulosus,E. multilocularis,Cysticercus cellulosae,Amoebic liver abscess,1,single,"Echinococcus multilocularis causes malignant hydatid disease in which Tumour are slow-growing And are alveoli like which is ill-defined ,slow-growing and invasive .It causes alveolar hydatidosis. Echinococcus granulosus causes hydatid disease in liver or cystic echinococcosis. Amoebic liver abscess is an extra intenstinal manifestation of Entamoeba histolytica. Cysticercus cellulosae is the larval stage of Taenia solium.",Microbiology,AIIMS 2019
58e40694-1799-476f-8618-af488bda8892,"A 2 weeks old infant has conjunctivitis, which later developed into respiratory distress and pneumonia. Chest X-ray showed bilateral lung infiltrates. WBC count was 14,300/dL. Which of the following is the most likely organism?",Chlamydia trachomatis,Streptococcus agalactiae,Gonococcus,Haemophilus influenzae,0,single,"Answer- A. Chlamydia trachomatisChlamydia trachomatis: Of newborns infected by the mother, 10-20% may develop respiratory tract involvement 2-12 weeks after bih, culminating in pneumonia.Affected newborns have nasal obstruction or discharge, striking tachypnea, a characteristic paroxysmal staccato cough, an absence of fever, and eosinophilia. Interstitial infiltrates and hyperinflation can be seen on radiographs. The diagnosis should be suspected if pneumonitis develops in a newborn who has inclusion conjunctivitis and can be established by isolation of C. trachomatis from respiratory secretions.",Microbiology,
1bb2cc45-79b6-45f8-add8-e6832e5090f0,For which of the following is PPV-23 is most beneficial:,Cystic fibrosis patient,Sickle cell anemia patient,Patient with recurrent rhinitis and sinusitis,Child less than 2 years,1,single,Repeated microinfarction can destroy tissues having micro vascular beds prone to sickling. Thus splenic function is frequently lost within 18-36 months of life causing susceptibility to infection paicularly by pneumococci. So ( PPV-23) polysaccharide pneumococcal vaccine is beneficial in sickle cell anemia.,Microbiology,AIIMS 2019
a432db53-67f5-4865-af52-18edf81d1225,Transfusion-associated malaria has a shoer incubation period because of the presence in blood of:,Trophozoites,Sporozoites,Female gametocyte,Merozoites,0,single,"Ans: A. Trophozoites(Ref: Paniker's 7/e p77, 6/e p69; Harrison 19/e p1374)Transfusion associated malaria has a shoer incubation period because of presence of trophozoites in blood.Malaria can be transmitted by blood transfusion, needle-stick injury, sharing of needles by infected injection drug users, or organ transplantation.The incubation period in these settings is often sho because there is no pre-erythrocytic stage of development.Parasites may remain ble in blood bank for 1-2 weeks.As this condition is induced by direct infection of red cells by the merozoites, pre-erythrocytic schizogony and hypnozoits are absent.Relapse does not occur and incubation period is sho.",Microbiology,
87311a9e-97ac-43de-8964-55eb7ced00a9,Mw vaccine is prepared from:,Mycobacterium bovis,Mycobacterium indicus pranii,Mycobacterium welchii,Mycobacterium tuberculosis,1,single,Mw vaccine is a killed leprosy vaccine developed in India in 2018 using Mycobacterium indicus pranii.,Microbiology,AIIMS 2019
f23569ea-da84-4e74-aa14-69c64f04424d,Which is not true about vibrio cholera,It is non-halophilic,Grows on simple media,Man is the only natural host,Cannot survive in extracellular environment,3,multi,,Microbiology,
3d3896ce-b736-4e9a-bb7e-cb4608cdd29a,Antibody-dependent enhancement is implicated in the immunopathogenesis of which disease?,Influenza,Staphylococcal toxic shock syndrome,Waterhouse-Friderichsen syndrome,Dengue hemorrhagic fever,3,single,Ans: D. Dengue hemorrhagic feverAntiborly-dependent enhancement is implicated in the immunopathogenesis of Dengue hemorrhagic fever.,Microbiology,
df8ae3bc-aef6-48d0-8033-d715cfe36b3d,"A patient comes after a dog bite with hydrophobia, tearing and altered sensorium. You suspect rabies in this patient. Corneal impression has been taken. What test will you do on it for most accurate diagnosis?",Indirect immunofluorescence,-PCR for virus,Histopathological examination for Negri bodies,Antibodies against Rabies virus,1,single,"Answer- B. -PCR for virusDetection of rabies virus RNA by - PCR is highly sensitive and specific. This technique can detect virus infresh saliva samples, skin, CSF, and brain tissues.Detection of rabies virus RNA by -PCR is highly sensitive and specific. This technique can detect virus in fresh saliva samples, skin, CSF, and brain tissues. In addition, -PCR with genetic sequencing can distinguish among rabies virus variants, permitting identification of the probable source of an infection.""-Harrison 19/e p1302.Reverse transcription-polymerase chain reaction testing can be used to amplify pas of a rabies virus genome from fixed or unfixed brain tissue or saliva. Sequencing of amplified products can allow identification of the infecting virus strain.",Microbiology,
e068fa99-4331-4dbd-b6f8-ae387f5bae10,The most effective way of preventing tetanus is :,Surgical debridement and toilet,Hyperbaric oxygen,Antibiotics,Tetanus toxoid,3,single,"Remember :
Best way of prevention = Active immunization = TT
Best passive immunization = Antitoxin = Human tetanus immunoglobulin.",Microbiology,
