id,question,opa,opb,opc,opd,cop,choice_type,exp,subject_name,topic_name
bc4f5387-b4e2-4c9f-9372-d2578aa9848d,Virus is cultured in:,Sabouraud's agar,Rogosa medium,Nonembryonated egg,Embryonated egg,3,multi,"Embryonated eggs were used initially for the growth of viruses.
Embryonated chick egg was used first for cultivation of viruses by Goodpasture in 1931. 
Usually, 8–11 days old chick eggs are used for culture of viruses. The viruses are isolated in different sites of the egg, such as yolk sac, amniotic cavity, and allantoic cavity, and chorioallantoic membrane (CAM).",Microbiology,
cb22bfd6-e7d0-4944-8677-45b1a3d35c21,The following is the ovum of a helminth. What is true about the helminth?,Transmission is through ingestion of infected pork,Both adult and larval stages are seen in humans,The helminth causes a transient self-resolving infection in humans,Drug of choice for this condition is albendazole,1,multi,"Ans: b. Both adult and larval stages are seen in humans(Ref: Paniker's 7/e p135, 6/e p156)The given image is the egg of Hymenolepis nano showing characteristic polar filaments, polar knobs, yolk granules and,6 hooklets (hexacanth) in the oncosphere (embryo).Both adult and larval stages of this species are seen in humans.It causes a transient infection in humans but does not resolve on its own and has to be treated.",Microbiology,
c56d4b66-8192-4b25-9d20-7312a5f5d4cb,"Following hepatitis B infection through blood transfusion, disease manifests in:",1 week,6 weeks,3 months,1 year,2,single,,Microbiology,
a5fcd994-859d-49cc-b3c2-5fa501e726e6,In chronic allergy which lg are more persistent in the body?,lg G,lg E,lg A,lg M,1,multi,"IgE is highly potent and mediates type I hypersensitivity reactions by binding to the mast cells causing its degranulation. lgE response is seen in various allergic (both acute and chronic) conditions, such as asthma, anaphylaxis, hay fever, etc. lgE has : lowest serum concentration, Shoest half-life, minimum daily production, only heat labile antibody (inactivated at 56degC in one hour), has affinity for the surface of tissue cells (mainly mast cells) of the same species (homocytotropism).",Microbiology,AIIMS 2019
a1bea2c7-217e-4240-a208-541618437eec,Beta 3 glucan assay testing not done for,Invasive candidiasis,Aspergillosis,Pneumocystis carnii,Mucormycosis,3,single,"Beta 3 glucan assay is used to detect the presence of beta 3 glucan in the fungal cell wall. It is used for Invasive candidiasis, Aspergillosis, Pneumocystis cranii but not for Mucormycosis.",Microbiology,AIIMS 2019
9b9120e8-6675-4e3d-8dc1-4c7b261957f1,Which of the following is an obligate intracellular parasite?,Tropheryma whippelii,Baonella henselae,Ehrlichia chaffeensis,Coxiella burnetii,2,single,"Ans: C. Ehrlichia chaffeensis (Ref: Ananthanarayan 10/e p416, 8/e p409; Jawetz 27/e p346, 347; Harrison 19/e p1159, 1162)Though both Coxiella and Ehrlichia are obligate intracellular pathogens, in 2009 scientists repoed a technique allowing the Q-fever pathogen Coxiella burnetii to grow in an axenic culture and suggested the technique may be useful for study of other pathogens.Hence, Ehrlichia is a better answer in this case.",Microbiology,
78396a0e-60b7-4aa4-9586-8d38825f08ab,Cytopathic effect is shown by:,Virus,Bacteria,Spirochete,Anaerobe,0,single,,Microbiology,
15417774-021b-4c2c-8d47-6d80322fe687,Malignant pustule is referred to:,Facio-cervical actinomycosis,Cutaneous anthrax,Infected squamous cell carcinoma,None of the above,1,multi,,Microbiology,
2388aeb7-4920-452f-9acb-28be49c72966,Autoinfection can be caused by all the following helminths except:,Enterobius vermicularis,Hymenolepis nana,Taenia solium,Ascaris lumbricoides,3,multi,"Ans: D. Ascaris lumbricoidesAutoinfection:Infection of a primary host with a parasite, paicularly a helminth, in such a way that the complete life cycle of the parasite happens in a single organism, without the involvement of another host.Primary host is at the same time the secondary host of parasite.Autoinfection is seen in (CHEST)Cryptosporidium parvumdegHymenolepis nanadegEnterobius vermicularisQStrongyloides stercoralisdegTaenia soliumdeg",Microbiology,
e8de9b5f-8d91-4770-b700-0a4ac5dd29e2,Which of the following toxin is causing this:,Botulism,Tetanus,Diphtheria,Cholera,0,single,Botulinum toxin contains 2 chains- heavy and light. The heavy Chain binds presynaptically to nerve terminals and is responsible for mediating translocation of light chain into the cell. The light chain is active pa which cleaves host protein snap 25 The cleaved snap 25 prevent the release of neurotransmitter Acetylcholine and is responsible flaccid paralysis. The tetanus toxin causes cleavage of synaptobrevin and prevents the release of neurotransmitters GABA and Glycine which causes spastic paralysis. Diphtheria toxin causes ADP ribosylation of elongation factor 2 which inhibits protein synthesis. Cholera toxin causes ADP ribosylation of G stimulatory protein which causes increase in cyclin AMP and causes watery diarrhoea So according to the question the answer is botulinum toxin.,Microbiology,AIIMS 2019
3aab1eeb-6cbe-4fc3-b2de-5b459ab610f6,"In a suspected patient of dengue, all of these are acceptable investigations at day 3 of presentation except:",Viral culture and isolation in C6/36 cell line,ELISA for antibody against dengue virus,NS I antigen detection,#NAME?,1,multi,"Ans: B. ELISA for antibody against dengue virus(Ref Ananthanarayan 10/e p529, 8/e p519: Harrison 19/c 1)1319).ELISA in antibody detection against Dengue virus:Yields diagnostic results after 5 days (acute infection phase) for antibody detection against dengue virus.Other diagnosis methods:For mosquito inoculation/mosquito cell culture - Virus readily isolated from blood in acute phase.Laboratory tests for Dengue:Virus isolation within six days: Serum, plasma, autopsy tissueViral nucleic acid detection (-PCR assay).Diagnostic MethodTime to ResultsSpecimenTime of collection after onset of symptomsViral isolation & serotype identification1-2 weeksWhole blood, serum, tissues1-5 daysNucleic acid detection1 or 2 daysTissues, whole blood, serum, plasma1-5 daysdegAntigen detection1 daySerum1-6 daysdeg >1 dayTissue for immunochemistryNAIgM ELISA1-2 daysSerum, plasma, whole blood After 5 daysa",Microbiology,
2610a5af-a6cb-488f-98df-4341a3a9c7f9,In which of the following ways is CLED medium better than MacConkey agar?,It prevents proteus swarming,Inhibits growth of other commensals,It allows Staphylococcus and Candida to grow,It differentiates lactose fermenters from non-fermenters,2,multi,"Ans: C. It allows Staphylococcus and Candida to growRef: Ananthanarayan 10/e p39, 10/e p39, 81e p667)Advantage of CLED medium over MacConkey agar is that it allows Staphylococcus and Candida to growTypical colony morphology on CLED AgarEscherichia coliOpaque yellow colonies with a slightly deeper yellow centerdegKlebsiella sppYellow to whitish-blue colonies, extremely mucoiddegProteus sppTranslucent blue coloniesdegPseudomonas aeruginosaGreen colonies with typical matted surface & rough peripherydegEnterococciSmall yellow colonies, about 0.5 mm in diameterdegStaphylococcus aureusDeep yellow colonies, uniform in colordegCoagulase negative StaphylococciPale yellow colonies, more opaque than Enterococcus faecalisa",Microbiology,
44483815-3319-493d-b156-d3663a4d61a1,23 serotypes pneumococcal vaccine Most useful in,Cystic fibrosis,Recurrent otitis media & sinusitis,Child less than 2 years,Sickle cell anaemia,3,single,Ans-D. Sickle cell anaemia* PPSV23 (Pneumovax or Pnu-Immune) is the most widely available formulation and contains 23 pneumococcal polysaccharides* A single dose of the 23-valent pneumococcal polysaccharide vaccine (PPSV23) is indicated for adults (ages 19 to 64 years)* Vaccination with both PCV13 and PPSV23 is indicated in individuals with impaired splenic function for eg- Sickle cell disease or other hemoglobinopathy,Microbiology,
9c1caee2-628f-4a80-b55e-8480760cb634,The component that sensitizes bacteria and virus to UV irradiation,Lipids,Carbohydrates,Inorganic salts,Nucleic acids,3,single,,Microbiology,
ced0e6e7-048a-467e-aa7e-e10def9ebb5e,Which of the following is not used as a disinfectant?,1-2% Cetrimide,100% Alcohol,2% Lysol,5% Chloroxylene,1,single,"A 70% solution of alcohol takes more time in evaporation from the surface, increasing the contact time. Therefore, 70% isopropyl alcohol is suitable for disinfection. 
100% isopropyl alcohol coagulates the protein instantly creating a protein layer that protects the remaining protein from further coagulation.",Microbiology,
e14c42e1-754e-40a6-9b50-5d27b40e5a7d,Hydrolysis of IgG with papain will lead to formation of following fragments:,1 Fc and 2 Fab fragments,2 Fc and 1 Fab fragment,1 variable chain and 1 constant chain,1 Fab and 1 hypervariable region,0,single,"Answer- A. 1 Fc and 2 Fab fragmentsHydrolysis of IgG with papain will lead to the formation of 1 Fc and 2 Fab fragments. Papain hydrolyzes IgG at the hinge region, which lyses IgG into one constant Fc region and two Fab fragments.When studying the Ig molecule structure, it was identified experimentally thot an antibody molecule, such as IgG, can be split into two fragments by the proteolytic enzyme, papain. When this happens, the peptide bonds in the hinge region are broken.The antigen-binding activity is associated with one of these fragments, the Fab poion- The second fragment is the Fc poion that is involved in the placental transfer, complement fixation, attachment to various cells, and other biologic activities.",Microbiology,
ee9f14bb-4e5e-4e39-99aa-ba63533bf4b2,"Beta-1,3-D Glucan testing is done for all except-",Aspergillosis,Mucormycosis,Candidiasis,Pneumocystis,1,multi,"Ans- B. Mucormycosis* Detection of fungal antigens in body fluids, including cryptococcus capsular polysaccharide, histoplasma antigen, galactomannan, and b-d-glucan, is viewed as being clinically useful for at least the presumptive diagnosis of invasive fungal infections.b-d-Glucan is an attractive antigen in that it is found in a broad range of fungal agents, including the commonly encountered agents Candida spp., Aspergillus spp., and Pneumocystis jirovecii.",Microbiology,
2fb9aa7b-5106-4856-943d-f6554959feab,Rabies vaccine not to be given in case of?,Rat bite,Cat bite,Dog bite,Monkey bite,0,single,,Microbiology,
9859d4a2-274f-47eb-b20f-ca5309440793,Disease caused by Staphylococcus aureus which is not mediated through a toxin is,Food poisoning,Septicemic shock,Toxic shock syndrome,Staphylococcal scalded skin syndrome,1,single,"Answer- B. Septicemic shockSepticemia is mainly due to endotoxin like activity as seen in Gram-negative bacilli and not due to exotoxin. Clinically, Staphylococcus aureus sepsis presents like that documented for sepsis due to other bacteria. Septicemic shock is not directly caused due to toxins and other virulence factors play a role like protein A, fibrinolysin and coagulase, which are anti-phagocytic, suppress host immunity and helps in the spread of infection. Septicemia is mainly due to endotoxin tike activity as seen in Gram-negative bacilli and not due to exotoxin. S.aureus produces free types of toxin: cytotoxins, pyrogenic toxin superantigens, and exfoliative toxins. Both epidemiologic data and studies in animals suggest that antitoxin antibodies are protective against illness in TSS' staphylococcal food poisoning, and staphylococcal scalded skin syndrome (SSSS). Illness develops after toxin synthesis and absorption and the subsequent toxin-initiated host response",Microbiology,
6b874c35-3e1a-4158-b37c-34fd4c6350a7,"A 15 years old boy presents with loose motions and intermittent abdominal pain over the past 1 year. Wet mount stool specimen showed the presence of multiple ova, which are more than 100 p in diameter. The causative organism for the disease shall not include:",Fasciola gigantica,Gastrodiscoides hominis,Echinostoma ilocanum,Opistorchis viverrini,3,multi,"Answer- D (Opistorchis viverrini)Inhabit the bile duct of fish eating animalsCaused by ingestion of raw or under cooked freshwater fishAbdominal discomfo, gasFatigue is typicalAssociated with bile duct cancer",Microbiology,
05984a75-d9af-4a87-8ac5-824576bf0d9f,A girl is has white hair. 40% of her classmates are also suffering from the same problem. None of the other people from the same village have white hair. Her brother who is staying with an aunt in the neighbouring village is also normal and does not have white hair. Which of the following explains the probable cause of her white hair?,Environmental,Genetic,Nutritional,Infection,0,multi,"Ans. a. EnvironmentalA girl and 40% of her classmates are suffering from white hair. Her brother who is staying with an aunt in the neighboring village is normal and does not have white hair. In the given question, as the girl and many of her classmates (from a single geographical area, in this case, the school) have developed grey hair, the most likely cause would be environmental.Similarly, as many other children from the same school have white hair, the cause is also unlikely to be nutritional.As the girl's brother living in a different village does not have white hair, the cause of the white hair is unlikely to be genetic",Social & Preventive Medicine,
2dbbf01a-5a68-40c9-a24f-fd4af9d314e8,"According to WHO definition, what is the criteria for considering a high endemic area for meningococcal meningitis?","<2 per 1,00,000 population","2-10 per 1,00,000 population",">10 per 1,00,000 population",">100 per 1,00,000 population",2,single,"Ans. c. >10 per 1,00,000 population (Ref: Park 23/e p165, 22/e pl56)WHO defines highly endemic areas where incidence of meningococcal meningitis as number of cases per 1,00,000 population is >10 cases.",Social & Preventive Medicine,
