id,question,opa,opb,opc,opd,cop,choice_type,exp,subject_name,topic_name
e4927cf9-d5c2-4d7e-ab5b-7429e206275e,The virulence factors of Neisseria gonorrhea include all of the following except:,Outer membrane proteins,IgA Protease,M-Proteins,Pili,2,multi,,Microbiology,
a31fa037-1f22-44a4-8d07-6457c439b685,"A patient in an ICCU is on CVP line. His blood culture shows growth of Gram +ve cocci which
are catalase positive and coagulase negative. The most likely etiological agent is:",Staph. aureus,Staph. epidermidis,Streptococcus pyogenes,Enterococcus faecalis,1,single,,Microbiology,
93751803-0e12-444d-a80a-f15784cc6a86,All of the following are associated with HHV8 except?,Kaposi sarcoma,Primary effusion lymphoma,Castleman disease,T-cell leukemia,3,multi,"Ans. D. T-cell leukemiaHuman Herpes Virus-8 Aka Kaposi's sarcoma-associated herpesvirus (KSHV).Human herpesvirus-8 (HHV-8) or Kaposi's sarcoma-associated herpesvirus (KSHV infects B lymphocytes, macrophages, and both endothelial and epithelial cells) appears to be causally related to Kaposi's sarcoma and a subgroup of AIDS-related B-cell body cavity-based lymphomas (primary effusion lymphomas) and multicentric Castleman's disease. HHV-8 infection is more common in pas of Africa than in the United States. Primary HHV-8 infection in immunocompetent children may manifest as fever and maculopapular rash. Among individuals with intact immunity, chronic asymptomatic infection is the rule, and neoplastic disorders generally develop only after subsequent immunocompromise. In patients with AIDS, effective antiretroviral therapy has caused improvement in HHV-8-related disease. The virus is sensitive to ganciclovir, foscarnet, and cidofovir, but the clinical benefit has not been demonstrated in trials. Invasive cervical carcinoma has been causally implicated with human papillomavirus infection.",Microbiology,
7ddb4b66-7d59-42e8-9714-04fdb5741670,Mw vaccine is made from which bacteria?,M. Welchii,M. Bovis,M. Indicus pranii,none of these,2,multi,"Answer-C- M. Indicus praniiKilled Mycobacterium indicus pranii (previously known as Mycobacterium w, popularly known as Mw) vaccine has earlier been investigated in genital was with encouraging resultsMycobacterium w vaccine, a useful adjuvant to multidrug therapy in multibacillary leprosy.",Microbiology,
8fe12f62-9e59-408b-899d-72def6e9e16e,Which of the following structure is disrupted by Vibrio cholerae?,Hemi desmosome,Gap junctions,Zona occludens,Zona adherens,2,single,"Ans: C. Zona occludens(Ref Sleisenger and Fordtran's textbook of Gastrointestinal and Liver Disease 10/e p1903).vibrio cholerae also produces additional toxins that may contribute to disease, including the zonula occludens toxin (ZOT) that alters intestinal permeability by acting on intestinal epithelial cells tight junctions, and the accessory choleraendotoxin (ACE)."" Cholera toxin:Vibrio cholerae secretes enterotoxin protein.Encoded by bacteriophage (CT Xfi resident in V. cholera).Enterotoxin:Made up of 1A subunit (composed of 1A1 & 1 A2 peptide joined by disulfide link) & 5B subunits.Other toxins:Zonula occludens toxin (ZOT):Alters intestinal permeability by acting on intestinal epithelial cells tight junctions.Accessory cholera endotoxin (ACE).",Microbiology,
dec39d56-fcb3-4cf1-8e83-e09a09a8ce6e,CLED media better than Macconkey media,It stimulates growth of Staph and Candida as it is non selective,Inhibits swarming of proteus,Differentiates between Lactose fermenter and non-lactose fermenters,Sodium taurocholate is used as selective agent.,0,single,Cysteine electrolyte deficient agar (CLED) is a non-selective media and it stimulates the growth of Staphylococcus and Candida whereas Mac Conkey agar is a selective media. Both CLED and MAC Conkey Agar inhibits the swarming of proteus and differentiate between lactose fermenter and non-lactose fermenter. Both use sodium Taurocholate as a selective agent and so first option is a better option.,Microbiology,AIIMS 2019
de1065e8-37ba-4b6b-a05d-f967fdf76f58,MHC Class II proteins are expressed by:,"B-cells, dendritic cells and macrophages",Platelets,T-cells,All nucleated cells,0,multi,"Answer- A. B-cells, dendritic cells and macrophagesMHC Class II proteins are expressed by all antigen-presenting cells, which include B-cells, follicular dendritic cells and macrophages. MHC Class I proteins are expressed by all nucleated cells, which excludes platelets and RBCsHLA class I antigens (A, B and C) are found on the surface of viually all nucleated cells- They ere the principal antigens involved in graft rejection and cell-mediated cytolysis.Class, I molecules may function as components of hormonal receptors. HLA class II antigens are more restricted in distribution, being found only on cells of the immune system macrophages, dendritic cells, activated T cells, and paicularly on B cells.""",Microbiology,
5a2facfc-eefa-4828-b96a-c319e1c71745,Hydatid cyst is:,Parasitic in nature,Fungal,Congenital,Viral,0,single,,Microbiology,
8919343b-cb06-4265-8e82-209b335117b3,Which of the following malignancy is not caused by Human Papilloma Virus (HPV) infection?,Carcinoma base of tongue,Cervical carcinoma,Tonsillar carcinoma,Nasopharyngeal carcinoma,3,single,"Ans: D. Nasopharyngeal carcinoma(Ref Ananthanaravan 10/e p557, 9/e p553)Human infections caused by HPVDiseasesSerotypeSkin was (Plantar wa, common wa, flat wa &Epidermodysplasia verruciformis)1, 2, 43,Papilloma (Laryngeal, Oral)6, 11Condyloma acuminatum (genital wa)6, 11Oral squamous cell carcinoma16, 18Cervical intraepithelial neoplasia (CIN)6, 11Carcinoma cervix16, 18, 31, 33, 35, 42-44 Infectious AgentLymphoid MalignancyHIVDiffuse large B cell lymphomadegBurkitt's lymphomadeg",Microbiology,
02f27add-bf4d-4155-81aa-8f537546ceda,Blood on OT floor is cleaned by?,Phenol,Alcohol based compounds,Chlorine based compounds,Quaternary ammonium compounds,2,single,Sodium hypochlorite (1%) is used as laboratory disinfectant for disinfectingblood and other specimens and is also used for disinfecting the blood spillage area.,Microbiology,AIIMS 2017
7cacd6ea-ee7d-481d-bc66-467c47dc315c,DPT Vaccine is not contraindicated in?,Progressive neurological disorder,Severely immunocompromised patient,High allergic response to 1st dose,Severe convulsions in a patient,1,multi,,Microbiology,
