id,subject,probA,probB,probC,probD,result,answer,time,split,sources,ids,similarity,source,confident,add_ids,top1,top2,margin
e4927cf9-d5c2-4d7e-ab5b-7429e206275e,Microbiology,0.01611328125,0.10498046875,0.87890625,0.0011672973632812,True,C,0.15606689453125,1,"['PBMD', 'PBMD', 'PBMD', 'PBMD', 'PBMD']","[468043370483263301, 468043370483433679, 468043370483939717, 468043370484046969, 468043370483264493]","[0.8481689691543579, 0.7979194521903992, 0.7971533536911011, 0.7920965552330017, 0.7916451096534729]",MEDMCQA,1,"[-1, -1, -1, -1, -1]",0.87890625,0.10498046875,0.77392578125
a31fa037-1f22-44a4-8d07-6457c439b685,Microbiology,0.00518798828125,0.9921875,0.001312255859375,0.002044677734375,True,B,0.1029527187347412,1,"['PBMD', 'PBMD', 'PBMD', 'TEXT', 'PBMD']","[468043370483856605, 468043370483841800, 468043370484106241, 468043370482421731, 468043370484111861]","[0.8049676418304443, 0.7978291511535645, 0.797201931476593, 0.7927739024162292, 0.7888760566711426]",MEDMCQA,1,"[-1, -1, -1, -1, -1]",0.9921875,0.00518798828125,0.98699951171875
93751803-0e12-444d-a80a-f15784cc6a86,Microbiology,0.008544921875,0.0016860961914062,0.0015792846679687,0.98828125,True,D,0.0823869705200195,1,"['PBMD', 'STAT', 'PBMD', 'TEXT', 'TEXT']","[468043370483675690, 468043370483069466, 468043370483947572, 468043370482409409, 468043370482412127]","[0.7957452535629272, 0.7950815558433533, 0.7877357602119446, 0.7858558297157288, 0.7808482646942139]",MEDMCQA,1,"[-1, -1, -1, -1, -1]",0.98828125,0.008544921875,0.979736328125
7ddb4b66-7d59-42e8-9714-04fdb5741670,Microbiology,0.0498046875,0.77734375,0.018310546875,0.1533203125,False,C,0.1047208309173584,1,"['PBMD', 'PBMD', 'PBMD', 'PBMD', 'PBMD']","[468043370483268121, 468043370484086458, 468043370483320880, 468043370483619657, 468043370484107691]","[0.7257786393165588, 0.7244906425476074, 0.7231302857398987, 0.7217474579811096, 0.7197595238685608]",MEDMCQA,1,"[-1, -1, -1, -1, -1]",0.77734375,0.1533203125,0.6240234375
8fe12f62-9e59-408b-899d-72def6e9e16e,Microbiology,0.08203125,0.0220947265625,0.77734375,0.119140625,True,C,0.1047725677490234,1,"['PBMD', 'PBMD', 'PBMD', 'PBMD', 'PBMD']","[468043370483426495, 468043370483524755, 468043370483509607, 468043370483476716, 468043370483225827]","[0.7632031440734863, 0.7566680908203125, 0.7559693455696106, 0.7499058246612549, 0.7465094923973083]",MEDMCQA,1,"[-1, -1, -1, -1, -1]",0.77734375,0.119140625,0.658203125
dec39d56-fcb3-4cf1-8e83-e09a09a8ce6e,Microbiology,0.73828125,0.11279296875,0.099609375,0.050048828125,True,A,0.0807299613952636,1,"['PBMD', 'PBMD', 'STAT', 'PBMD', 'PBMD']","[468043370483726923, 468043370483252489, 468043370483010873, 468043370483550221, 468043370483484622]","[0.7765204310417175, 0.7654104828834534, 0.7646092176437378, 0.7607317566871643, 0.756914496421814]",MEDMCQA,1,"[-1, -1, -1, -1, -1]",0.73828125,0.11279296875,0.62548828125
de1065e8-37ba-4b6b-a05d-f967fdf76f58,Microbiology,0.984375,0.0042724609375,0.01092529296875,0.0001659393310546,True,A,0.0844993591308593,1,"['TEXT', 'TEXT', 'TEXT', 'TEXT', 'TEXT']","[468043370482396808, 468043370482455767, 468043370482380908, 468043370482425478, 468043370482397095]","[0.8287432193756104, 0.806734561920166, 0.799986720085144, 0.7937071919441223, 0.7919330596923828]",MEDMCQA,1,"[-1, -1, -1, -1, -1]",0.984375,0.01092529296875,0.97344970703125
5a2facfc-eefa-4828-b96a-c319e1c71745,Microbiology,1.0,0.0010299682617187,0.0006256103515625,7.009506225585938e-05,True,A,0.070145845413208,1,"['PBMD', 'STAT', 'PBMD', 'PBMD', 'PBMD']","[468043370483336678, 468043370482547522, 468043370484055215, 468043370483814901, 468043370483672211]","[0.7652831077575684, 0.7652563452720642, 0.7589337825775146, 0.7553232908248901, 0.7553218007087708]",MEDMCQA,1,"[-1, -1, -1, -1, -1]",1.0,0.0010299682617187,0.9989700317382812
8919343b-cb06-4265-8e82-209b335117b3,Microbiology,0.01239013671875,0.0009574890136718,0.0017852783203125,0.984375,True,D,0.0654668807983398,1,"['STAT', 'STAT', 'PBMD', 'TEXT', 'PBMD']","[468043370482821252, 468043370482826355, 468043370483681461, 468043370482407396, 468043370483919532]","[0.8140648007392883, 0.8116098046302795, 0.8112236261367798, 0.8088175058364868, 0.8064703345298767]",MEDMCQA,1,"[-1, -1, -1, -1, -1]",0.984375,0.01239013671875,0.97198486328125
02f27add-bf4d-4155-81aa-8f537546ceda,Microbiology,0.00799560546875,0.98828125,0.0023040771484375,0.0029449462890625,False,C,0.1028275489807128,1,"['PBMD', 'PBMD', 'PBMD', 'PBMD', 'PBMD']","[468043370483443663, 468043370483524316, 468043370483905615, 468043370483425929, 468043370483554615]","[0.7434561848640442, 0.7415968775749207, 0.7404079437255859, 0.7348677515983582, 0.7300713062286377]",MEDMCQA,1,"[-1, -1, -1, -1, -1]",0.98828125,0.00799560546875,0.98028564453125
