question,a,b,c,d,answer,source,id
Pulmonary manifestation for inhalational anthrax,Hemorrhagic mediastinitis,Lobar consolidation,Bronchopneumonia with type two respiratory failure,Can cause pneumonia,0,MEDMCQA,0
Histopathologic study of lichen planus shows:,Mixed cellular inflammatory infiltrate,Presence of T-Lymphocytes predominantly,Antiepithelial antibodies,Scattered infiltrate with ill-defined lower border,1,MEDMCQA,1
"In a village, despite of health education for oral cancer, people don't follow instructions even after referral with persuasive reminders, people are still reluctant. It best fits under which model:",Trans-theoretical model,Health belief model,Social compliance,Public health model,0,MEDMCQA,2
Earliest valvular lesion in a case of acute rheumatic fever is –,Mitral regurgitation (MR),Aortic Regurgitation(AR),Mitral stenosis (MS),Aortic Stenosis (AS),0,MEDMCQA,3
Acid dissolution is most common in which part of rod,Periphery of head,Head region,Rod tails,equally,1,MEDMCQA,4
What should be the best treatment option for the extraction socket shown in  Fig,Ovate Pontic,Modified ridge lap,Sanitary pontic,All of the above,0,MEDMCQA,5
"Diabetes insipidus, bone lesions and exophthalmos is seen in",Sickle cell anemia,Niemen pick disease,Littere Siewe Disease,Hand-Schuller-Christian disease,3,MEDMCQA,6
Scammon's growth curve. False is,Neural tissues-Most of the growth is completed by 6 years,Lymphoid tissues — growth reaches 200%  by age 13 and regresses afterwards,Genital tissues — most of the growth is completed by the age of puberty,None of the above,2,MEDMCQA,7
Treatment of fibrous dysplasia is:,Radical resection of lesion,Radiation therapy,"If the Lesion is small, dissection is done, if Lesion is large cosmetic surgery has to be carried out",Cryosurgery,2,MEDMCQA,8
Which is true regarding lathe cut silver alloy:,Requires least amount of mercury,Achieves lowest compressive strength at 1 hr.,Has tensile strength both at 15 min & 7 days comparable to high copper unicompositional alloy,Has Low creep,2,MEDMCQA,9
"A traumatized tooth nonvital with or without crown
fracture is classified as",Class-III,Class-IV,Class -V,Class-VII,1,MEDMCQA,10
Pickling:,Is accomplished by soaking the casting in baking soda,Causes porosity in gold,Removes surface oxides from gold castings,Remove investment from gold casting,2,MEDMCQA,11
Vasopressor of choice in pregnancy is:,Ephedrine,Phenylephrine,Methoxamine,Mephentermine,0,MEDMCQA,12
"14 year old child with blindness, sensorineural hearing loss, progressive hematuria, hypeension with similar family history in father",Alpo syndrome,Goldenhar syndrome,Goodpasture syndrome,Nager syndrome,0,MEDMCQA,13
"In a child, surgery was done for biliary stricture with hepatojejunal anastomosis. Postoperative bilirubin level after 2 weeks was 6 mg/dL from a preoperative level 12mg/dL. The reason for this could be:",Normal lowering of bilirubin takes time,Anastomotic stricture,Delta bilirubin,Mistake in lab technique,2,MEDMCQA,14
"A G2 P1+0+0 diabetic mother present at 32 weeks pregnancy, there is history of full term fetal demise in last pregnancy. Her vitals are stable, sugar is controlled and fetus is stable. Which among the following will be the most appropriate management?",To induce at 38 weeks,To induce at 40 weeks,Cesarean section at 38 weeks,To wait for spontaneous delivery,0,MEDMCQA,15
Restriction endonuclease cuts at,AAGGAA,AAGAAG,AAGTTC,AAGCTT,3,MEDMCQA,16
Which one of the following antibiotics chelates with calcium ?,Penicillin,Tetracycline,Cephalosporins,Erythromycin,1,MEDMCQA,17
High content of cholesterol is present in:,Coconut oil,Egg yolk,Hydrogenated fat,Ghee (unsaturated),1,MEDMCQA,18
Mode is,Value that most frequently occurs in a set of observation,When observations are arranged in ascending or descending order the value that comes in the centre,Calculated by adding up the values of a group of items and dividing the sum by the number of items,Best measure for central tendency in a highly scented distribution,0,MEDMCQA,19
