id,source,probA,probB,probC,probD,answer,time,error
0.0,MEDMCQA,2.355022297706455e-05,2.0782998035429046e-05,0.9998747110366821,8.09239863883704e-05,3,6.644640207290649,False
1.0,MEDMCQA,0.9999712705612183,1.2508636245911475e-05,5.053946097177686e-06,1.1212669051019475e-05,0,4.741697311401367,False
2.0,MEDMCQA,0.0001049223355948925,0.9998192191123962,6.844114977866411e-05,7.526685294578783e-06,1,3.2663488388061523,False
3.0,MEDMCQA,0.9999442100524902,2.796852459141519e-05,5.594057256530505e-06,2.2124922907096334e-05,2,6.017779350280762,False
4.0,MEDMCQA,0.0003423713205847889,0.0001709822827251628,0.0015600878978148103,0.9979265928268433,3,5.56152081489563,False
5.0,MEDMCQA,2.9942868877697038e-06,0.9999455213546753,1.5778782653796952e-06,4.990806701243855e-05,0,5.103541135787964,False
6.0,MEDMCQA,8.251611143350601e-05,7.282021397259086e-05,1.798532139218878e-05,0.9998267292976379,1,6.784301996231079,False
7.0,MEDMCQA,0.997546374797821,0.0005827401764690876,0.0002237904554931447,0.001647153403609991,1,4.944262504577637,False
8.0,MEDMCQA,1.1123571312054992e-05,8.266336408269126e-06,0.9998058676719666,0.00017468295118305832,2,5.718353033065796,False
9.0,MEDMCQA,6.048332124919398e-06,0.9998970031738281,8.578359143029957e-07,9.610175038687885e-05,1,5.9925737380981445,False
10.0,MEDMCQA,0.2120099663734436,0.787712574005127,3.307453152956441e-05,0.0002443895791657269,1,4.374037027359009,False
11.0,MEDMCQA,0.9999862909317017,1.0051122444565408e-05,4.313855015425361e-07,3.1875317745289067e-06,0,5.513783931732178,False
12.0,MEDMCQA,1.0127746463695075e-05,9.970730388886295e-06,0.9997683167457581,0.00021152461704332381,2,6.307895183563232,False
13.0,MEDMCQA,9.00973827810958e-06,5.771855285274796e-06,2.260291012134985e-06,0.9999829530715942,3,5.026859521865845,False
14.0,MEDMCQA,4.494986114877975e-06,1.0129608199349605e-05,0.9999520778656006,3.321370604680851e-05,2,4.903892993927002,False
15.0,MEDMCQA,7.527403795393184e-06,1.8341663235332817e-05,0.9999146461486816,5.9439349570311606e-05,2,5.290891647338867,False
16.0,MEDMCQA,0.00044338341103866696,0.0003320788382552564,0.9976770281791687,0.0015475602122023702,3,5.179123878479004,False
17.0,MEDMCQA,0.9999854564666748,7.706456926825922e-06,1.118927912102663e-06,5.771869382442674e-06,0,5.584239721298218,False
18.0,MEDMCQA,2.9308903322089463e-05,5.286466330289841e-05,0.9998807907104492,3.7049925595056266e-05,2,4.613428831100464,False
19.0,MEDMCQA,0.9996296167373657,3.168252078467049e-05,8.52723496791441e-06,0.00033013944630511105,0,5.465800762176514,False
20.0,MEDMCQA,0.00014536477101501077,0.00011589490168262273,6.545707583427429e-05,0.9996732473373413,3,3.785229444503784,False
21.0,MEDMCQA,3.785297394642839e-06,5.550772129936377e-06,1.7330354467048892e-06,0.9999889135360718,0,4.563746690750122,False
22.0,MEDMCQA,0.9999897480010986,6.144149210740579e-06,1.0030048542830627e-06,3.089472329520504e-06,0,4.964224576950073,False
23.0,MEDMCQA,8.013444130483549e-06,0.9999850988388062,1.5056815527714207e-06,5.338104529073462e-06,1,4.411430597305298,False
24.0,MEDMCQA,1.4391780496225692e-05,0.00012120902829337865,0.9995842576026917,0.00028017297154292464,2,4.866403102874756,False
25.0,MEDMCQA,3.998052306997124e-06,9.332133231509943e-06,2.453525667078793e-06,0.9999842643737793,3,4.671679735183716,False
26.0,MEDMCQA,0.9999493360519409,3.0597817385569215e-05,1.2678656275966205e-06,1.866757338575553e-05,0,5.003012657165527,False
27.0,MEDMCQA,0.00010409569222247228,0.9997219443321228,4.564721166389063e-06,0.00016945971583481878,0,6.026761054992676,False
