id,source,probA,probB,probC,probD,probE,answer,time,error
0,MEDQA,5.5073294788599014e-05,0.9997950196266174,3.0652907298645005e-05,1.5323201296268962e-05,0.00010390016541350633,2,5.096678018569946,False
1,MEDQA,2.726376351347426e-06,7.766722774249502e-06,5.862630132469349e-06,2.0784829757758416e-05,0.9999628067016602,4,9.165908575057983,False
2,MEDQA,1.1658626135613304e-05,4.3656793422997e-05,0.999910831451416,3.14448079734575e-05,2.4058936105575413e-06,2,6.687880992889404,False
3,MEDQA,8.012651051103603e-06,0.999886155128479,1.9331421299284557e-06,1.4284095414041076e-05,8.957571117207408e-05,3,7.637260675430298,False
4,MEDQA,1.994437525354442e-06,0.9998514652252197,2.7260728074907092e-06,0.00012053311365889385,2.3184571546153165e-05,1,6.6042914390563965,False
5,MEDQA,1.1123561307613272e-05,8.887140575097874e-05,0.9998049139976501,8.938031896832399e-06,8.613712270744145e-05,4,3.8146753311157227,False
6,MEDQA,1.9333292584633455e-06,0.9999829530715942,7.571026117147994e-07,9.81825633061817e-06,4.637815891328501e-06,3,6.803560018539429,False
7,MEDQA,7.181663022493012e-06,6.013132951920852e-05,0.99977046251297,4.985062332707457e-05,0.00011234010889893398,2,7.689378976821899,False
8,MEDQA,5.092446372145787e-06,4.935768174618715e-06,0.9997478127479553,0.00021823465067427605,2.3918048100313172e-05,2,5.130410671234131,False
9,MEDQA,1.593266279087402e-05,2.689146094780881e-05,0.9997357726097107,0.00011102746066171676,0.00011037881631636992,0,7.72454309463501,False
10,MEDQA,0.0005109852645546198,0.9989557266235352,4.0023456676863134e-05,0.00012232155131641775,0.0003709355369210243,4,8.406531572341919,False
11,MEDQA,2.964893610624131e-07,1.1015915788448183e-06,5.714981625715154e-07,0.9999954700469971,2.443987568767625e-06,3,7.438919544219971,False
12,MEDQA,1.5205923773464747e-05,0.9999245405197144,3.4463305382814724e-06,1.7230568118975498e-05,3.944116542697884e-05,1,5.971134901046753,False
13,MEDQA,1.5779495470269467e-06,2.0741754269693047e-06,5.203525574870582e-07,5.133633749210276e-06,0.999990701675415,4,8.401211738586426,False
14,MEDQA,3.667468490675674e-06,2.5206118152709678e-06,6.473466669376648e-07,0.9996161460876465,0.00037702597910538316,3,6.541889429092407,False
15,MEDQA,0.0015728322323411703,0.9943574070930481,0.0003085015923716128,0.00044450501445680857,0.003316704649478197,1,8.23011326789856,False
16,MEDQA,2.8967539037694223e-05,4.424996859597741e-06,3.6115770853939466e-06,7.901153003331274e-05,0.9998840093612671,4,8.293299674987793,False
17,MEDQA,8.397868441534229e-06,4.860313765675528e-06,3.1874717478785897e-06,1.606134719622787e-05,0.9999674558639526,4,5.868867635726929,False
18,MEDQA,4.3634571511574904e-09,2.99895774880099e-09,1.708754471252405e-09,1.0677028967620572e-06,0.999998927116394,1,9.92499828338623,False
19,MEDQA,0.00024227389076258987,7.965000986587256e-05,0.9996316432952881,2.4291879526572302e-05,2.2118007109384052e-05,4,5.866795301437378,False
20,MEDQA,1.9986571714980528e-05,1.0781946002680343e-05,0.999862551689148,6.250192382140085e-05,4.4255626562517136e-05,2,5.521846055984497,False
21,MEDQA,7.338118166444474e-07,1.1910940429515904e-06,3.089463007199811e-06,8.203491233871318e-06,0.9999867677688599,0,8.907918930053711,False
22,MEDQA,1.179575701826252e-05,1.3366344319365453e-05,1.3159118680050597e-05,0.9653441309928894,0.03461751341819763,3,7.5794517993927,False
23,MEDQA,0.0013785915216431022,0.9442200064659119,0.0002709310792852193,0.0033006162848323584,0.050829872488975525,4,5.022162199020386,False
24,MEDQA,0.9999793767929077,7.889161679486278e-06,1.0348328487452818e-06,5.0146568355557974e-06,6.643340839218581e-06,0,7.868927717208862,False
25,MEDQA,7.338129535128246e-07,1.2098530532966834e-06,1.1910959756278316e-06,8.597198757342994e-06,0.999988317489624,4,8.6701979637146,False
26,MEDQA,6.276652015912987e-07,1.3081665883873939e-06,1.1015866903107963e-06,5.9551216509134974e-06,0.9999910593032837,4,7.727252721786499,False
27,MEDQA,0.9999964237213135,1.8738721792033175e-06,1.6373714117889904e-07,1.0677001682779519e-06,5.122881816532754e-07,0,5.04983115196228,False
28,MEDQA,1.1015551990567474e-06,2.22520247916691e-06,7.337939678109251e-07,0.9999624490737915,3.347454912727699e-05,3,8.00348162651062,False
29,MEDQA,3.1872798444965156e-06,5.2549357860698365e-06,6.475351597146073e-07,0.9999072551727295,8.36587423691526e-05,3,4.728077173233032,False
30,MEDQA,1.1841632840514649e-05,2.7105767003376968e-05,8.138627890730277e-06,9.187690739054233e-05,0.9998610019683838,4,5.53224515914917,False
31,MEDQA,5.0935732360812835e-06,8.869931662047748e-06,7.827687113604043e-06,0.9999690055847168,9.15149303182261e-06,2,4.638889789581299,False
32,MEDQA,1.384517781843897e-05,2.0302612028899603e-05,2.840845991158858e-05,1.095243715099059e-05,0.9999264478683472,4,8.17595911026001,False
33,MEDQA,1.994690364881535e-06,3.340477405799902e-06,1.9637654986581765e-06,1.451037223887397e-05,0.9999781847000122,1,5.05262565612793,False
34,MEDQA,0.9915950894355774,0.0016696201637387276,0.0012701799860224128,0.001702550332993269,0.0037625469267368317,1,5.81652045249939,False
35,MEDQA,0.9999749660491943,1.529605287942104e-05,2.4824241791066015e-06,5.59422915102914e-06,1.6796921045170166e-06,0,4.742618799209595,False
36,MEDQA,4.0525196709495503e-07,4.1811605910879734e-07,2.699559900065651e-07,0.9999932050704956,5.72699627809925e-06,4,8.440788269042969,False
37,MEDQA,5.093584150017705e-06,1.1982538126176223e-05,1.5779187378939241e-06,0.9999711513519287,1.0209249921899755e-05,0,8.58355164527893,False
38,MEDQA,0.2,0.2,0.2,0.2,0.2,4,9.937460660934448,True
39,MEDQA,0.9010729193687439,0.0004502391966525465,0.00035339678288437426,0.00013624659914057702,0.09798713773488998,0,6.348849534988403,False
40,MEDQA,3.4663113979149784e-07,6.893583304190543e-07,5.203549449106504e-07,0.9999953508377075,3.0894896099198377e-06,3,5.578765869140625,False
41,MEDQA,9.026376210385934e-05,0.00011059348616981879,0.9997256398200989,4.330902811489068e-05,3.0234574296628125e-05,2,4.998538255691528,False
42,MEDQA,5.912264168728143e-05,0.9984795451164246,0.00047051729052327573,0.0009034099639393389,8.737760072108358e-05,0,9.475992679595947,False
43,MEDQA,3.814946467173286e-06,6.51484151603654e-06,1.5534668591499212e-06,0.9999785423278809,9.497570317762438e-06,2,6.50241231918335,False
44,MEDQA,0.000220870875637047,0.9883856773376465,0.00021075646509416401,0.0053512114100158215,0.005831419490277767,1,6.658052682876587,False
45,MEDQA,2.5465109501965344e-05,2.144377322110813e-05,1.631356280995533e-05,1.300630538025871e-05,0.9999237060546875,4,5.947564363479614,False
46,MEDQA,2.39085202338174e-05,0.0001272444351343438,0.9993495345115662,0.0004372411349322647,6.201397627592087e-05,2,6.87442946434021,False
47,MEDQA,8.091090421658009e-05,6.350768671836704e-05,2.7528545615496114e-05,0.00011499757238198072,0.9997130036354065,0,6.327224016189575,False
48,MEDQA,1.7602205844013952e-06,0.9999285936355591,1.4143770385999233e-06,2.2826887288829312e-05,4.539668952929787e-05,1,8.115607500076294,False
49,MEDQA,9.721026117404108e-07,1.5534155863861088e-06,3.689685570407164e-07,0.9999455213546753,5.161818626220338e-05,3,8.134789943695068,False
50,MEDQA,1.1910985904250992e-06,1.8738612652668962e-06,1.2679179235419724e-06,5.054043413110776e-06,0.9999905824661255,4,4.146167516708374,False
51,MEDQA,0.9999812841415405,6.962174211366801e-06,2.699527783533995e-07,7.82778352004243e-06,3.6688081763713853e-06,0,5.699717044830322,False
52,MEDQA,6.0478682826214936e-06,1.8055599866784178e-05,1.3629081877297722e-05,0.00014201828162185848,0.9998202919960022,3,9.669427156448364,False
53,MEDQA,4.888279931947181e-07,7.69034443237615e-07,4.181167696515331e-07,0.9999948740005493,3.446572918619495e-06,3,4.400380849838257,False
54,MEDQA,2.2252402231970336e-06,0.9999793767929077,2.0904196844639955e-06,1.0209333595412318e-05,5.908709681534674e-06,1,5.823749780654907,False
55,MEDQA,1.067686639544263e-06,0.9999836683273315,5.89632520586747e-07,2.812979346344946e-06,1.184308530355338e-05,1,6.83431077003479,False
