id,source,probA,probB,probC,probD,answer,time,error
0,MEDMCQA,0.37673521041870117,0.1385931372642517,0.10793644934892654,0.37673521041870117,3,0.01031041145324707,False
1,MEDMCQA,0.9065793752670288,0.0037049828097224236,0.08432502299547195,0.00539071811363101,0,0.00968480110168457,False
2,MEDMCQA,0.0027857094537466764,0.9917812943458557,0.005204390734434128,0.00022866495419293642,1,0.010031461715698242,False
3,MEDMCQA,0.8331281542778015,0.05326009914278984,0.05326009914278984,0.06035160273313522,2,0.015961408615112305,False
4,MEDMCQA,0.13019521534442902,0.010687073692679405,0.27562323212623596,0.5834944248199463,3,0.010423898696899414,False
5,MEDMCQA,0.0040374742820858955,0.9879373908042908,0.0004822075425181538,0.007542995270341635,0,0.009711980819702148,False
6,MEDMCQA,0.08879229426383972,0.45092448592185974,0.009358638897538185,0.45092448592185974,1,0.009629964828491211,False
7,MEDMCQA,0.24591295421123505,0.40544191002845764,0.21701742708683014,0.13162770867347717,1,0.009621620178222656,False
8,MEDMCQA,0.15353131294250488,0.03881879523396492,0.6880795955657959,0.1195703074336052,2,0.00980377197265625,False
9,MEDMCQA,0.015553140081465244,0.13022485375404358,0.005049365572631359,0.8491726517677307,1,0.009622573852539062,False
10,MEDMCQA,0.03729234263300896,0.9617822170257568,0.0003226419794373214,0.000602774613071233,1,0.009596109390258789,False
11,MEDMCQA,0.9977207779884338,0.0019260542467236519,0.00012312852777540684,0.00023003436217550188,0,0.009794235229492188,False
12,MEDMCQA,0.050201401114463806,0.009885242208838463,0.15463121235370636,0.7852820754051208,2,0.01028585433959961,False
13,MEDMCQA,0.24265438318252563,0.24265438318252563,0.11462181806564331,0.4000694453716278,3,0.010320425033569336,False
14,MEDMCQA,5.828842404298484e-05,3.2884079246287e-06,0.9998929500579834,4.539507062872872e-05,2,0.010047435760498047,False
15,MEDMCQA,1.6694082660251297e-05,8.93569813342765e-06,0.9995438456535339,0.0004305460606701672,2,0.010215282440185547,False
16,MEDMCQA,0.18131405115127563,0.1412075161933899,0.33873921632766724,0.33873921632766724,3,0.010285139083862305,False
17,MEDMCQA,0.9838013052940369,0.008511548861861229,0.0045559038408100605,0.003131224075332284,0,0.01047825813293457,False
18,MEDMCQA,0.0006262919050641358,4.003749927505851e-05,0.9993062019348145,2.751734427874908e-05,2,0.010265588760375977,False
19,MEDMCQA,0.1825936883687973,0.059279490262269974,0.03595482558012009,0.7221720218658447,0,0.010235786437988281,False
20,MEDMCQA,0.544694721698761,0.009976431727409363,0.021120106801390648,0.4242086708545685,3,0.010529041290283203,False
21,MEDMCQA,0.047075483947992325,0.004378702491521835,0.0030094352550804615,0.9455364346504211,0,0.010234832763671875,False
22,MEDMCQA,0.9999468326568604,4.539751898846589e-05,6.9619345595128834e-06,8.314844990309211e-07,0,0.010274410247802734,False
23,MEDMCQA,0.0350932851433754,0.9050678014755249,0.001979827880859375,0.05785904824733734,1,0.010932683944702148,False
