id,source,probA,probB,probC,probD,probE,answer,time,error
0,MEDQA,0.08119267970323563,0.7703347206115723,0.03835270553827286,0.018116537481546402,0.09200336784124374,2,0.03137040138244629,False
1,MEDQA,0.1776333600282669,0.2280857414007187,0.2280857414007187,0.10774007439613342,0.2584550082683563,4,0.030560970306396484,False
2,MEDQA,0.010912969708442688,0.00214889133349061,0.9823542833328247,0.00214889133349061,0.0024350129533559084,2,0.04413318634033203,False
3,MEDQA,0.32853439450263977,0.37227824330329895,0.01635676436126232,0.026967747136950493,0.25586286187171936,3,0.04453277587890625,False
4,MEDQA,0.08171115070581436,0.7752538323402405,0.04373682662844658,0.09259086847305298,0.0067072599194943905,1,0.044817447662353516,False
5,MEDQA,0.007525898516178131,0.0007932238513603806,0.9856981635093689,0.00012164481449872255,0.005861175712198019,4,0.031004905700683594,False
6,MEDQA,0.14415046572685242,0.6460375189781189,0.04129979386925697,0.12721233069896698,0.04129979386925697,3,0.030832290649414062,False
7,MEDQA,0.012003117240965366,0.005003643687814474,0.953525722026825,0.01746443286538124,0.012003117240965366,2,0.04486799240112305,False
8,MEDQA,0.22912046313285828,0.04511648789048195,0.4280533492565155,0.2021980732679367,0.09551161527633667,2,0.03128552436828613,False
9,MEDQA,0.6204571723937988,0.13844271004199982,0.13844271004199982,0.05771150812506676,0.044945769011974335,0,0.028532981872558594,False
10,MEDQA,0.08907653391361237,0.017540210857987404,0.01547918189316988,0.032769426703453064,0.8451346755027771,4,0.04382896423339844,False
11,MEDQA,0.0065235658548772335,0.003081514500081539,0.0021178917959332466,0.9681830406188965,0.020093997940421104,3,0.04383563995361328,False
12,MEDQA,0.04555948078632355,0.9150866866111755,0.01016569510102272,0.004801934119313955,0.02438623458147049,1,0.03100132942199707,False
13,MEDQA,0.35244542360305786,0.10097730904817581,0.06124583259224892,0.03278253227472305,0.45254889130592346,4,0.031108379364013672,False
14,MEDQA,0.04600219056010246,0.00905836932361126,0.01917656697332859,0.206167533993721,0.7195953726768494,3,0.031161069869995117,False
15,MEDQA,0.3321850597858429,0.4265340566635132,0.07412050664424896,0.044956356287002563,0.12220405787229538,1,0.039671897888183594,False
16,MEDQA,0.06899653375148773,0.0049980925396084785,0.0072721815668046474,0.840549886226654,0.07818332314491272,4,0.045415639877319336,False
17,MEDQA,0.38396045565605164,0.013138404116034508,0.16005852818489075,0.05888224393129349,0.38396045565605164,4,0.04466080665588379,False
18,MEDQA,0.510983407497406,0.1879802942276001,0.14639919996261597,0.025440365076065063,0.12919683754444122,1,0.04517006874084473,False
19,MEDQA,0.19704733788967133,0.026667458936572075,0.6069485545158386,0.04982136934995651,0.11951525509357452,4,0.031456947326660156,False
